# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	368
#@/user_id	rimebox
aib 	范	c=4 d=1.06412 t=368
ajwv 	划分	c=1 d=1 t=352
atsg 	范特西	c=12 d=3.65844 t=368
b 	了	c=5 d=2.92905 t=368
bai 	陈	c=1 d=0.382893 t=368
bb 	子	c=2 d=0.809177 t=368
bn 	也	c=2 d=1.38018 t=368
bsk 	阿	c=1 d=0.343009 t=368
ccc 	又	c=2 d=1.03372 t=368
ck 	台	c=1 d=0.904837 t=368
cn 	马	c=1 d=0.460704 t=368
d 	在	c=2 d=0.85718 t=368
ddu 	套	c=1 d=0.759572 t=368
dn 	成	c=1 d=0.56836 t=368
e 	有	c=2 d=0.846872 t=368
ebtl 	服务	c=9 d=6.89718 t=368
et 	用	c=1 d=0.97531 t=368
etgf 	用于	c=1 d=0.634448 t=368
etyn 	用户	c=1 d=0.362402 t=368
faqk 	域名	c=1 d=0.985112 t=368
fcu 	支	c=1 d=0.346456 t=368
fdsa 	魂牵梦萦	c=2 d=0.998834 t=368
fggh 	干	c=1 d=0.522046 t=368
fhq 	赵	c=2 d=1.80067 t=368
fhru 	直接	c=1 d=0.499074 t=368
fnw 	块	c=1 d=0.810584 t=368
fp 	过	c=1 d=0.822835 t=368
ftjb 	都	c=1 d=0.438235 t=368
fwmj 	规则	c=1 d=1 t=347
g 	一	c=4 d=2.67717 t=368
gace 	开通	c=1 d=0.918512 t=368
gaid 	开源	c=1 d=0.337902 t=368
gc 	到	c=2 d=1.29584 t=368
ge 	表	c=1 d=1 t=368
gh 	下	c=3 d=1.27717 t=368
ghg 	焉	c=1 d=0.453845 t=368
gi 	不	c=7 d=4.62665 t=368
gip 	还	c=1 d=0.666977 t=368
gk 	事	c=2 d=1.02388 t=368
gn 	与	c=4 d=3.83984 t=357
go 	来	c=3 d=1.83493 t=368
guck 	平台	c=1 d=0.683861 t=368
h 	上	c=2 d=0.995606 t=368
hhue 	目前	c=1 d=0.918512 t=368
hto 	瞅	c=2 d=1.09497 t=368
hwws 	具体	c=1 d=0.612626 t=368
hxf 	些	c=1 d=0.860708 t=368
ifc 	法	c=1 d=0.946485 t=368
ihey 	涉及	c=1 d=0.615697 t=368
ikh 	溃	c=1 d=0.232236 t=368
im 	没	c=2 d=1.09784 t=368
imya 	测试	c=2 d=1.97045 t=368
iymm 	注册	c=1 d=0.67368 t=368
j 	是	c=6 d=4.02018 t=368
jbc 	最	c=1 d=0.66034 t=368
jfd 	里	c=2 d=0.698183 t=368
